university_name,university_address,university_email,post_index,registration_year
"Національна академія статистики, обліку та аудиту","вул. Підгірна, 1",info@nasoa.edu.ua,04107,1986
Національний університет біоресурсів і природокористування України,"вул. Героїв оборони, 15",rectorat@nubip.edu.ua,03041,1954
"Національний університет ""Києво-Могилянська академія""","вул. Григорія Сковороди, 2",vkd@ukma.edu.ua,04070,1991
"Приватне акціонерне товариство «Українсько-Польський вищий навчальний заклад ""Центрально-Європейський університет»","вул. Рейтарська,, 19а",referent.ceu.info@gmail.com,03680,1995
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Київський міжгалузевий інститут підвищення кваліфікації""","вул. Дмитрівська, 71",kmipksh@i.kiev.ua,01135,1994
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""","вул. Фрометівська, 2",iapm@iapm.edu.ua,03039,1989
"Приватне акціонерне товариство ""Вищий навчальний заклад ""Національна академія управління""","вул. Гната Юри, 9",office@nam.kiev.ua,03148,1992
"Приватний вищий навчальний заклад ""Європейський університет""","бульв. Академіка Вернадського, 16-в",office@e-u.in.ua.,03115,1991
"ПРИВАТНИЙ ВИЩИЙ НАВЧАЛЬНИЙ ЗАКЛАД ""КИЇВСЬКИЙ МЕДИЧНИЙ УНІВЕРСИТЕТ""","вул. Бориспільська, 2",info@kmu.edu.ua,02099,1992
"Приватний вищий навчальний заклад ""Міжнародний інститут бізнесу""","Брест-Литовське шосе , 8-А",info@iib.com.ua,03179,1993
"Приватний вищий навчальний заклад ""Міжнародний інститут менеджменту (МІМ-Київ)""","вул. Шулявська, 10/12в",assist@mim.kiev.ua,04116,1993
Приватний вищий навчальний заклад Університет новітніх технологій,"пров. Машинобудівний, 28",office@unt.edu.ua,03068,1996
"Приватний вищий навчальний заклад ""Фінансово-правовий коледж""","вул. Пітерська, 5-А",f_p_college@meta.ua,03087,1994
"Приватний вищий навчальний заклад-інститут ""Українсько-американський університет Конкордія""","вул. Пирогова, 9",info@uacu.edu.ua,01030,1997
"Приватний заклад вищої освіти ""Київський міжнародний університет""","вул. Львівська, 49",info@kymu.edu.ua,03179,1994
"Приватний заклад передвищої освіти ""Мистецький коледж імені Сальвадора Далі""","вул. Бережанська, 5",art-dali@ukr.net,04074,1992
"Товариство з обмеженою відповідальністю ""Академія адвокатури України""","бульв. Тараса Шевченка, 27",referent@aau.edu.ua,01032,1995
"Товариство з обмеженою відповідальністю ""Бердянський університет менеджменту і бізнесу""","вул. Академіка Вернадського, 16-в",bumib@ukr.net,03115,1992
"Товариство з обмеженою відповідальністю ""Київський інститут банківської справи""","просп. Оболонський, 34В",kibs_dekanat@ukr.net,04214,1997
"Товариство з обмеженою відповідальністю ""Політико-правовий коледж ""АЛСКО""","вул. Юрія Іллєнка, 39",alsko-college@ukr.net,04050,1992
"Товариство з обмеженою відповідальністю ""Університет міжнародних інноваційних ідей""","пров. Ковальський, 19, офіс 139 літера А",info@uii.org.ua,03056,1992
Український інститут розвитку фондового ринку,"просп. Перемоги, 54/1",magistr@usmdi.org,03057,1991
"Фаховий коледж бізнесу та аналітики Національної академії статистики, обліку та аудиту","вул. Підгірна, 1",info_college@nasoa.edu.ua,04107,1998
