university_name,university_parent_id,university_edrpou,university_director_fio,university_email,university_phone,post_index,university_address,university_financing_type_name,registration_year
"Приватний вищий навчальний заклад ""Київський університет культури""",,31028309,Пилипів Володимир Іванович,kuk_kiev@ukr.net,(044) 2867570; 5299332,01042,"вул. Чигоріна, 20",Приватна,2000
"Приватний вищий навчальний заклад ""Міжнародна академія екології та медицини""",,37857335,Савицький Іван Володимирович,maem.academy.edu@gmail.com,"(044) 5760600, (094) 9261357",02091,"Харківське шосе , 121",Приватна,2011
"Приватний вищий навчальний заклад ""Міжнародна академія сертифікації бухгалтерів і аудиторів""",,41319584,Чумак Оксана Володимирівна,chief@amsfo.com,+380(44)-279-00-00,01001,"вул. Малопідвальна, 10",Приватна,
"Приватний вищий навчальний заклад ""Міжнародний інститут бізнесу""",,19362125,Савченко Олександр Володимирович,info@iib.com.ua,(044)5850033; 5900848,03179,"Брест-Литовське шосе , 8-А",Приватна,1993
"Приватний вищий навчальний заклад ""Міжнародний інститут менеджменту (МІМ-Київ)""",,05394423,Тихомирова Ірина Олегівна,assist@mim.kiev.ua,585 02 65,04116,"вул. Шулявська, 10/12в",Приватна,1993
"Приватний вищий навчальний заклад ""Міжнародний коледж медицини""",,37788298,Федорова Тамара Григорівна,pvnzmkm@ukr.net,+066(70)-775-14,02660,"вул. В. Шимановського, 2/1",Приватна,2011
"Приватний вищий навчальний заклад ""Міжнародний коледж Святого Луки""",,38078293,Луценко Євген Валентинович,svluka@ukr.net,+044(56)-082-16,02091,"Харківське шосе , 121/3",Приватна,2012
Приватний вищий навчальний заклад Університет новітніх технологій,,24091786,Циганій Світлана Олексіївна,office@unt.edu.ua,(044) 227 28 86,03068,"пров. Машинобудівний, 28",Приватна,1996
"Приватний вищий навчальний заклад ""Університет сучасних знань""",,31839933,Мосьондз Сергій Олександрович,sekretariat@umk.edu.ua,(050)-322-71-88,03150,"вул. Велика Васильківська, 57/3",Приватна,2002
"Приватний вищий навчальний заклад ""Фаховий коледж міжнародної торгівлі""",,31452559,Швець Катерина Павлівна,ept_maup@ukr.net,(044) 285 84 69,03118,"просп. Валерія Лобановського, 146",Приватна,2001
"Приватний вищий навчальний заклад ""Фінансово-правовий коледж""",,22865098,Губанова Тамара Олексіївна,f_p_college@meta.ua,"0442430117, 0442434293",03087,"вул. Пітерська, 5-А",Приватна,1994
"Приватний вищий навчальний заклад-інститут ""Українсько-американський університет Конкордія""",,24265677,Романовський Олександр Олексійович,info@uacu.edu.ua,"+38(044)486-06-66, +38(044)236-19-16",01030,"вул. Пирогова, 9",Приватна,1997
"Приватний заклад вищої освіти ""Академія кіно та нових медіа""",,33546340,Лавріненко Юлія Валеріївна,inem.com.ua@ukr.net,0-800-33-06-33,02222,"вул. Закревського, 22",Приватна,2004
"Приватний заклад вищої освіти ""Арт академія сучасного мистецтва імені Сальвадора Далі""",,32978839,Фурса Оксана Олександрівна,art-dali@ukr.net,"(067) 218-17-77, (067) 548-17-77",02217,"вул. Братиславська, 8",Приватна,2004
"Приватний заклад вищої освіти ""Київський міжнародний університет""",,21595240,Хачатурян Хачатур Володимирович,info@kymu.edu.ua,+380(44)-594-03-04,03179,"вул. Львівська, 49",Приватна,1994
"ПРИВАТНИЙ ЗАКЛАД ВИЩОЇ ОСВІТИ ""МІЖНАРОДНИЙ ЄВРОПЕЙСЬКИЙ УНІВЕРСИТЕТ""",,42947833,Падалка Олег Семенович,rector@ieu.edu.ua,+38 (044)3380043 (42),03187,"просп. Академіка Глушкова, 42",Приватна,2019
"Приватний заклад вищої освіти ""Університет Київ""",,43171747,Толстоухов Анатолій Володимирович,kyivuni@gmail.com,+380(67)-323-93-92,01030,"вул. Богдана Хмельницького, 30/10",Приватна,
"Приватний заклад передвищої освіти ""Мистецький коледж імені Сальвадора Далі""",,30728300,Фурса Оксана Олександрівна,art-dali@ukr.net,"(044) 4951777, 4951776, (067) 218-17-77, (067) 548-17-77",04074,"вул. Бережанська, 5",Приватна,1992
Таврійський національний університет імені В.І.Вернадського,,02070967,Бортняк Валерій Анатолійович,crimea.tnu@gmail.com,+380(44)-529-05-16,01042,"вул. І. Кудрі, 33",Державна,1918
"Товариство з обмеженою відповідальністю ""Академія адвокатури України""",,22928626,Варфоломеєва Тетяна Вікторівна,referent@aau.edu.ua,(044) 246-57-88,01032,"бульв. Тараса Шевченка, 27",Приватна,1995
"Товариство з обмеженою відповідальністю ""Академія професійного розвитку""",,44000345,Гаркавенко Зоя Олександрівна,agenciaapro2020@gmail.com,095 026 9326,01054,"вул. Гончара Олеся, 79 кв 19",Приватна,
"Товариство з обмеженою відповідальністю ""Бердянський університет менеджменту і бізнесу""",,22142717,Антошкіна Лідія Іванівна,bumib@ukr.net,(06153)46920,03115,"вул. Академіка Вернадського, 16-в",Приватна,1992
"Товариство з обмеженою відповідальністю ""Вищий навчальний заклад ""АМЕРІКАН ЮНІВЕРСІТІ КИЇВ""",,43634285,Сухініна Марина Сергіївна,,,02222,"вул. Драйзера Теодора, 16, кв.29",Приватна,
"Товариство з обмеженою відповідальністю ""Київський інститут банківської справи""",,24733836,Тутік Лариса Іонівна,kibs_dekanat@ukr.net,(044) 290 44 92,04214,"просп. Оболонський, 34В",Приватна,1997
"Товариство з обмеженою відповідальністю ""Київський інститут сучасної психології та психотерапії""",,37144134,Херсонський Борис Григорович,kispp@i.ua,(044) 585-46-78,01113,"бульв. Лесі Українки, 26",Приватна,2010
"Товариство з обмеженою відповідальністю ""Перший косметологічний коледж""",,38963168,Барчукова Тетяна Вікторівна,medkolledg2@ukr.net,(044) 2216038; 5288282,03022,"вул. Ломоносова, 18",Приватна,2000
"Товариство з обмеженою відповідальністю ""Політико-правовий коледж ""АЛСКО""",,19033611,Оніщенко Наталія Миколаївна,alsko-college@ukr.net,(044)4836968,04050,"вул. Юрія Іллєнка, 39",Приватна,1992
"Товариство з обмеженою відповідальністю ""Університет міжнародних інноваційних ідей""",,13493914,Грушко Елла Анатоліївна,info@uii.org.ua,(044) 4530093; 4530094;,03056,"пров. Ковальський, 19, офіс 139 літера А",Приватна,1992
Українська академія перукарської майстерності та декоративної косметики Київського університету культури,310,26254399,Дихнич Людмила Петрівна,kuk_kiev@ukr.net,(044)2846404; 5853740,01133,"вул. Євгена Коновальця, 36 Б",Приватна,2002
Український інститут розвитку фондового ринку,,13689055,Леонов Дмитро Анатолійович,magistr@usmdi.org,(044) 456 37 56,03057,"просп. Перемоги, 54/1",Державна,1991
Університет штучного інтелекту та цифровізації,,44021632,Кушерець Дарина Василівна,ai.of.university@gmail.com,+380982009191,04053,"вул. Січових Стрільців, 23-А",Приватна,
"Фаховий коледж бізнесу та аналітики Національної академії статистики, обліку та аудиту",67,20780307,Юрченко Олександр Анатолійович,info_college@nasoa.edu.ua,+380(44)-484-49-41,04107,"вул. Підгірна, 1",Державна,1998
Фаховий коледж Київського інституту бізнесу та технологій товариство з обмеженою відповідальністю,289,37451372,Чімишенко Сергій Миколайович,info@kibit.edu.ua,(044) 353-42-42; 331-61-90,04078,"пров. Зоряний, 1/5",Приватна,2010
